numero_expedient,codi_districte,nom_districte,codi_barri,nom_barri,codi_carrer,nom_carrer,num_postal,descripcio_dia_setmana,nk_Any,mes_any,nom_mes,dia_mes,hora_dia,descripcio_torn,longitud,latitud,causa,_id,etl_fecha_ingesta
2023S002936    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0556 0556,Dimecres,2023,5,Maig,17,17,Tarda,2.182712052,41.407108999,Avançament defectuós/improcedent,25,2026-05-11 10:16:15.963225
2023S001145    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161101,Independència,0267 0267,Diumenge,2023,2,Febrer,26,3,Nit,2.184519459,41.406909506,Manca d'atenció a la conducció,26,2026-05-11 10:16:15.963225
2023S002473    ,10,Sant Martí,65,el Clot,191204,Mallorca,0622 0624,Dijous,2023,4,Abril,27,15,Tarda,2.187425675,41.412347879,No respectar distàncies,53,2026-05-11 10:16:15.963225
2023S001076    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana,0117B0117B,Dimecres,2023,2,Febrer,22,19,Tarda,2.186855248,41.408520352,Desconegut,27,2026-05-11 10:16:15.963225
2023S000133    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana,0117B0117B,Diumenge,2023,1,Gener,8,18,Tarda,2.186855248,41.408520352,Canvi de carril sense precaució,28,2026-05-11 10:16:15.963225
2023S004611    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,286300,Rogent,0001 0001,Dissabte,2023,7,Juliol,29,13,Matí,2.186855248,41.408520352,Desobeir altres senyals,29,2026-05-11 10:16:15.963225
2023S002351    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0589 0589,Diumenge,2023,4,Abril,23,13,Matí,2.185148327,41.409053419,Altres,30,2026-05-11 10:16:15.963225
2023S002277    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Aragó,0607 0607,Dijous,2023,4,Abril,20,19,Tarda,2.186855248,41.408520352,Desobeir semàfor,31,2026-05-11 10:16:15.963225
2023S007574    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Aragó,0607 0607,Dimecres,2023,12,Desembre,20,15,Tarda,2.186339504,41.408392225,No respectar distàncies,32,2026-05-11 10:16:15.963225
2023S003917    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,156305,Historiador Maians,0009 0009,Dijous,2023,6,Juny,29,11,Matí,2.182605456,41.411455078,Desobeir semàfor,33,2026-05-11 10:16:15.963225
2023S001057    ,10,Sant Martí,65,el Clot,273808,Rafael Capdevila,0010 0010,Dimarts,2023,2,Febrer,21,13,Matí,2.188128658,41.409142658,Desobeir altres senyals,34,2026-05-11 10:16:15.963225
2023S007075    ,10,Sant Martí,65,el Clot,161101,Independència,0265 0265,Dimarts,2023,11,Novembre,28,16,Tarda,2.184519459,41.406909506,No determinada,35,2026-05-11 10:16:15.963225
2023S004031    ,10,Sant Martí,65,el Clot,89004,Consell de Cent,0621 0621,Dilluns,2023,7,Juliol,3,19,Tarda,2.186194604,41.406454859,Gir indegut o sense precaució,36,2026-05-11 10:16:15.963225
2023S002332    ,10,Sant Martí,72,Sant Martí de Provençals,169409,Corts Catalanes,0963 0963,Dissabte,2023,4,Abril,22,15,Tarda,2.196493513,41.41161426,Manca d'atenció a la conducció,37,2026-05-11 10:16:15.963225
2023S001598    ,10,Sant Martí,65,el Clot,18505,Aragó,0594 0594,Dilluns,2023,3,Març,20,13,Matí,2.187479223,41.409373262,Gir indegut o sense precaució,38,2026-05-11 10:16:15.963225
2023S001607    ,10,Sant Martí,65,el Clot,18505,Aragó,0594 0594,Diumenge,2023,3,Març,19,20,Tarda,2.187479223,41.409373262,Desobeir altres senyals,39,2026-05-11 10:16:15.963225
2023S003221    ,10,Sant Martí,65,el Clot,209900,Meridiana,0068 0078,Dimarts,2023,5,Maig,30,11,Matí,2.186853797,41.405400594,Manca d'atenció a la conducció,40,2026-05-11 10:16:15.963225
2023S000815    ,10,Sant Martí,65,el Clot,209900,Meridiana,0068 0078,Divendres,2023,2,Febrer,10,14,Tarda,2.186853797,41.405400594,Manca d'atenció a la conducció,41,2026-05-11 10:16:15.963225
2023S004887    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda,0201 0201,Diumenge,2023,8,Agost,13,16,Tarda,2.194696433,41.414527519,Gir indegut o sense precaució,42,2026-05-11 10:16:15.963225
2023S001487    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda,0203 0211,Dimarts,2023,3,Març,14,15,Tarda,2.194274059,41.415049971,Canvi de carril sense precaució,43,2026-05-11 10:16:15.963225
2023S007146    ,10,Sant Martí,65,el Clot,161101,Independència,0250 0250,Dijous,2023,11,Novembre,30,17,Tarda,2.184519459,41.406909506,Canvi de carril sense precaució,44,2026-05-11 10:16:15.963225
2023S001830    ,10,Sant Martí,65,el Clot,350308,València,0671 0671,Dijous,2023,3,Març,30,15,Tarda,2.190152196,41.412827821,Manca precaució incorporació circulació,45,2026-05-11 10:16:15.963225
2023S002292    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana,0121 0121,Divendres,2023,4,Abril,21,14,Tarda,2.186573258,41.40899945,No respectat pas de vianants,46,2026-05-11 10:16:15.963225
2023S004260    ,10,Sant Martí,65,el Clot,209900,Meridiana,0182 0182,Dijous,2023,7,Juliol,13,21,Tarda,2.187192186,41.412707251,Altres,47,2026-05-11 10:16:15.963225
2023S002346    ,10,Sant Martí,65,el Clot,113506,Escultors Claperós,0087X0093X,Diumenge,2023,4,Abril,23,8,Matí,2.190764506,41.410730137,No determinada,48,2026-05-11 10:16:15.963225
2023S003371    ,10,Sant Martí,65,el Clot,209900,Meridiana,0198 0198,Dimarts,2023,6,Juny,6,19,Tarda,2.186896987,41.413976124,Manca d'atenció a la conducció,49,2026-05-11 10:16:15.963225
2023S001762    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana,0155 0155,Dilluns,2023,3,Març,27,17,Tarda,2.186874308,41.412195273,No respectar distàncies,50,2026-05-11 10:16:15.963225
2023S000104    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana,0155 0155,Divendres,2023,1,Gener,6,19,Tarda,2.186874308,41.412195273,Canvi de carril sense precaució,51,2026-05-11 10:16:15.963225
2023S003659    ,10,Sant Martí,65,el Clot,350308,València,0640 0644,Dilluns,2023,6,Juny,19,13,Matí,2.188449096,41.411430388,No respectar distàncies,52,2026-05-11 10:16:15.963225
2023S000248    ,10,Sant Martí,65,el Clot,209900,Meridiana,0204 0204,Divendres,2023,1,Gener,13,20,Tarda,2.187215229,41.414498012,Manca d'atenció a la conducció,54,2026-05-11 10:16:15.963225
2023S007604    ,10,Sant Martí,65,el Clot,115603,Espronceda,0223 0223,Divendres,2023,12,Desembre,22,11,Matí,2.195821045,41.412005445,Desobeir semàfor,55,2026-05-11 10:16:15.963225
2023S003936    ,10,Sant Martí,65,el Clot,226400,Las Navas de Tolosa,0289 0289,Divendres,2023,6,Juny,30,0,Nit,2.187886985,41.41453554,Desobeir semàfor,56,2026-05-11 10:16:15.963225
2023S006308    ,10,Sant Martí,70,el Besòs i el Maresme,701266,Litoral (Llobregat),000560000,Dimecres,2023,10,Octubre,25,18,Tarda,2.221372632,41.409655535,Altres,57,2026-05-11 10:16:15.963225
2023S002781    ,10,Sant Martí,65,el Clot,18505,Aragó,0611 0611,Dimecres,2023,5,Maig,10,12,Matí,2.187479223,41.409373262,Manca d'atenció a la conducció,58,2026-05-11 10:16:15.963225
2023S003153    ,10,Sant Martí,73,la Verneda i la Pau,153205,Guipúscoa,0178 0178,Dissabte,2023,5,Maig,27,12,Matí,2.208825686,41.42487995,Altres,59,2026-05-11 10:16:15.963225
2023S005836    ,10,Sant Martí,65,el Clot,18505,Aragó,0637 0637,Dimarts,2023,10,Octubre,3,17,Tarda,2.188973334,41.410492258,Avançament defectuós/improcedent,60,2026-05-11 10:16:15.963225
2023S001627    ,10,Sant Martí,65,el Clot,81603,Clot,0123 0127,Dimarts,2023,3,Març,21,15,Tarda,2.189446694,41.410585936,Avançament defectuós/improcedent,61,2026-05-11 10:16:15.963225
2023S000890    ,10,Sant Martí,73,la Verneda i la Pau,266405,Prim,0192 0194,Dilluns,2023,2,Febrer,13,18,Tarda,2.204909198,41.422201441,Desobeir semàfor,62,2026-05-11 10:16:15.963225
2023S002254    ,10,Sant Martí,70,el Besòs i el Maresme,701449,Josep Narcís Roca,0013X0013X,Dimecres,2023,4,Abril,19,20,Tarda,2.221273049,41.413559163,Desobeir semàfor,63,2026-05-11 10:16:15.963225
2023S003591    ,10,Sant Martí,65,el Clot,126508,Flandes,0007 0007,Divendres,2023,6,Juny,16,17,Tarda,2.189285293,41.408428135,No cedir la dreta,64,2026-05-11 10:16:15.963225
2023S006477    ,10,Sant Martí,70,el Besòs i el Maresme,701266,Litoral (Llobregat),000530000,Dijous,2023,11,Novembre,2,8,Matí,2.222170678,41.411351817,No respectar distàncies,65,2026-05-11 10:16:15.963225
2023S004102    ,10,Sant Martí,73,la Verneda i la Pau,343200,Trajana,0042 0042,Dijous,2023,7,Juliol,6,15,Tarda,2.203003786,41.428570514,No respectar distàncies,66,2026-05-11 10:16:15.963225
2023S002803    ,10,Sant Martí,73,la Verneda i la Pau,343200,Trajana,0042 0042,Dijous,2023,5,Maig,11,13,Matí,2.202710787,41.427808435,No respectar distàncies,67,2026-05-11 10:16:15.963225
2023S004239    ,10,Sant Martí,72,Sant Martí de Provençals,169409,Corts Catalanes,1043 1043,Dimecres,2023,7,Juliol,12,9,Matí,2.202512008,41.4157673,Canvi de carril sense precaució,68,2026-05-11 10:16:15.963225
2023S006028    ,10,Sant Martí,72,Sant Martí de Provençals,169409,Corts Catalanes,1091 1091,Dimecres,2023,10,Octubre,11,10,Matí,2.205804964,41.417381413,No respectar distàncies,69,2026-05-11 10:16:15.963225
2023S000220    ,10,Sant Martí,73,la Verneda i la Pau,153205,Guipúscoa,0137 0139,Dijous,2023,1,Gener,12,21,Tarda,2.204909198,41.422201441,No respectar distàncies,70,2026-05-11 10:16:15.963225
2023S005236    ,10,Sant Martí,73,la Verneda i la Pau,208205,Menorca,0033 0033,Diumenge,2023,9,Setembre,3,22,Nit,2.199714793,41.421686887,No cedir la dreta,71,2026-05-11 10:16:15.963225
2023S006799    ,10,Sant Martí,73,la Verneda i la Pau,266405,Prim,0223V0223V,Dijous,2023,11,Novembre,16,7,Matí,2.200428623,41.425591543,Desobeir semàfor,72,2026-05-11 10:16:15.963225
2023S007633    ,10,Sant Martí,73,la Verneda i la Pau,57802,Camp Arriassa,0112X0112X,Dissabte,2023,12,Desembre,23,12,Matí,2.200916574,41.426057735,Gir indegut o sense precaució,73,2026-05-11 10:16:15.963225
2023S006769    ,10,Sant Martí,71,Provençals del Poblenou,322608,Selva de Mar,0093 0093,Dimecres,2023,11,Novembre,15,8,Matí,2.205947351,41.411039949,Manca d'atenció a la conducció,74,2026-05-11 10:16:15.963225
2023S000551    ,10,Sant Martí,73,la Verneda i la Pau,270107,Puigcerdà,0191 0197,Dissabte,2023,1,Gener,28,16,Tarda,2.206130886,41.41781692,Manca d'atenció a la conducció,75,2026-05-11 10:16:15.963225
2023S007111    ,10,Sant Martí,71,Provençals del Poblenou,94300,Cristóbal de Moura,0021 0021,Dimecres,2023,11,Novembre,29,17,Tarda,2.202877994,41.408365763,Gir indegut o sense precaució,76,2026-05-11 10:16:15.963225
2023S007493    ,10,Sant Martí,71,Provençals del Poblenou,322608,Selva de Mar,0113B0113B,Dilluns,2023,12,Desembre,18,7,Matí,2.205105221,41.411799686,No cedir la dreta,77,2026-05-11 10:16:15.963225
2023S000420    ,10,Sant Martí,71,Provençals del Poblenou,94300,Cristóbal de Moura,0011X0011X,Dissabte,2023,1,Gener,21,20,Tarda,2.202877994,41.408365763,Manca d'atenció a la conducció,78,2026-05-11 10:16:15.963225
2023S000878    ,10,Sant Martí,71,Provençals del Poblenou,143609,Josep Pla,0071 0071,Dilluns,2023,2,Febrer,13,10,Matí,2.211895185,41.411796186,Manca d'atenció a la conducció,79,2026-05-11 10:16:15.963225
2023S000296    ,10,Sant Martí,70,el Besòs i el Maresme,195409,Maresme,0130 0130,Dilluns,2023,1,Gener,16,15,Tarda,2.210737328,41.41605997,Desobeir altres senyals,80,2026-05-11 10:16:15.963225
2023S004494    ,10,Sant Martí,68,el Poblenou,700662,Salvador Espriu,0097 0097,Dilluns,2023,7,Juliol,24,8,Matí,2.202317738,41.392393906,Canvi de carril sense precaució,81,2026-05-11 10:16:15.963225
2023S004373    ,10,Sant Martí,68,el Poblenou,55501,Calvell,0019 0021,Dimecres,2023,7,Juliol,19,18,Tarda,2.206229516,41.397293104,Desconegut,82,2026-05-11 10:16:15.963225
2023S003705    ,10,Sant Martí,68,el Poblenou,55501,Calvell,0035 0035,Dimecres,2023,6,Juny,21,0,Nit,2.207446649,41.398459224,Avançament defectuós/improcedent,83,2026-05-11 10:16:15.963225
2023S006884    ,10,Sant Martí,68,el Poblenou,270901,Pujades,0135 0135,Dilluns,2023,11,Novembre,20,13,Matí,2.198317886,41.399870923,Manca d'atenció a la conducció,84,2026-05-11 10:16:15.963225
2023S002173    ,10,Sant Martí,68,el Poblenou,700654,Litoral,0051 0051,Diumenge,2023,4,Abril,16,13,Matí,2.204610681,41.393823857,Manca d'atenció a la conducció,85,2026-05-11 10:16:15.963225
2023S006547    ,10,Sant Martí,68,el Poblenou,701265,Litoral (Besòs),000760000,Diumenge,2023,11,Novembre,5,6,Matí,2.204610681,41.393823857,Manca d'atenció a la conducció,86,2026-05-11 10:16:15.963225
2023S005810    ,10,Sant Martí,68,el Poblenou,701265,Litoral (Besòs),000780000,Dilluns,2023,10,Octubre,2,14,Tarda,2.203959431,41.393730092,No respectar distàncies,87,2026-05-11 10:16:15.963225
2023S007094    ,10,Sant Martí,68,el Poblenou,242906,Pallars,0146 0146,Dimecres,2023,11,Novembre,29,14,Tarda,2.194794346,41.399095112,Manca d'atenció a la conducció,88,2026-05-11 10:16:15.963225
2023S004809    ,10,Sant Martí,68,el Poblenou,701266,Litoral (Llobregat),000760000,Dimarts,2023,8,Agost,8,22,Nit,2.206711936,41.395759025,Manca precaució efectuar marxa enrera,89,2026-05-11 10:16:15.963225
2023S006819    ,10,Sant Martí,68,el Poblenou,701266,Litoral (Llobregat),000760000,Divendres,2023,11,Novembre,17,8,Matí,2.197995321,41.389278535,Avançament defectuós/improcedent,90,2026-05-11 10:16:15.963225
2023S001211    ,10,Sant Martí,68,el Poblenou,701266,Litoral (Llobregat),000770000,Dimecres,2023,3,Març,1,15,Tarda,2.203959431,41.393730092,No respectar distàncies,91,2026-05-11 10:16:15.963225
2023S006798    ,10,Sant Martí,68,el Poblenou,270901,Pujades,0154 0154,Dijous,2023,11,Novembre,16,9,Matí,2.198317886,41.399870923,Gir indegut o sense precaució,92,2026-05-11 10:16:15.963225
2023S004711    ,10,Sant Martí,68,el Poblenou,700755,Poblenou,0008X0008X,Dijous,2023,8,Agost,3,16,Tarda,2.204274482,41.395547736,Manca d'atenció a la conducció,93,2026-05-11 10:16:15.963225
2023S000738    ,10,Sant Martí,68,el Poblenou,700654,Litoral,0064 0068,Dilluns,2023,2,Febrer,6,16,Tarda,2.204610681,41.393823857,No respectar distàncies,94,2026-05-11 10:16:15.963225
2023S002642    ,10,Sant Martí,68,el Poblenou,701266,Litoral (Llobregat),000790000,Dijous,2023,5,Maig,4,19,Tarda,2.202744112,41.393064496,Altres,95,2026-05-11 10:16:15.963225
2023S007490    ,10,Sant Martí,70,el Besòs i el Maresme,701414,C-31,020860000,Diumenge,2023,12,Desembre,17,20,Tarda,2.210848824,41.421166899,No respectar distàncies,96,2026-05-11 10:16:15.963225
2023S003081    ,10,Sant Martí,71,Provençals del Poblenou,30409,Bac de Roda,0158 0160,Dimecres,2023,5,Maig,24,17,Tarda,2.19945291,41.410953186,Desobeir altres senyals,97,2026-05-11 10:16:15.963225
2023S003244    ,10,Sant Martí,71,Provençals del Poblenou,42306,Bilbao,0170 0174,Dimecres,2023,5,Maig,31,8,Matí,2.195533618,41.409241289,Gir indegut o sense precaució,98,2026-05-11 10:16:15.963225
2023S001840    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020750000,Divendres,2023,3,Març,31,10,Matí,2.201633992,41.41444441,Altres,99,2026-05-11 10:16:15.963225
2023S000799    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020750000,Dijous,2023,2,Febrer,9,21,Tarda,2.201633992,41.41444441,Desobeir semàfor,100,2026-05-11 10:16:15.963225
2023S000161    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020750000,Dimarts,2023,1,Gener,10,13,Matí,2.201633992,41.41444441,Desobeir altres senyals,101,2026-05-11 10:16:15.963225
2023S000428    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020750000,Diumenge,2023,1,Gener,22,15,Tarda,2.201633992,41.41444441,Desobeir altres senyals,102,2026-05-11 10:16:15.963225
2023S001812    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020830000,Dimecres,2023,3,Març,29,23,Nit,2.20839795,41.419566019,Manca d'atenció a la conducció,103,2026-05-11 10:16:15.963225
2023S000697    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020710000,Dissabte,2023,2,Febrer,4,13,Matí,2.198955496,41.411540798,Manca d'atenció a la conducció,104,2026-05-11 10:16:15.963225
2023S000641    ,10,Sant Martí,71,Provençals del Poblenou,253902,Perú,0246 0248,Dijous,2023,2,Febrer,2,13,Matí,2.204896928,41.414871874,Avançament defectuós/improcedent,105,2026-05-11 10:16:15.963225
2023S003696    ,10,Sant Martí,68,el Poblenou,30500,Badajoz,0053 0053,Dimarts,2023,6,Juny,20,14,Tarda,2.197178073,41.397292238,No determinada,106,2026-05-11 10:16:15.963225
2023S005663    ,4,Les Corts,19,les Corts,144601,Diagonal,0485 0485,Dimarts,2023,9,Setembre,26,11,Matí,2.143696889,41.392126398,Altres,629,2026-05-11 10:16:15.963225
2023S003180    ,10,Sant Martí,71,Provençals del Poblenou,42306,Bilbao,0181 0185,Diumenge,2023,5,Maig,28,14,Tarda,2.196073636,41.408401328,Manca d'atenció a la conducció,107,2026-05-11 10:16:15.963225
2023S002592    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020760000,Dimecres,2023,5,Maig,3,8,Matí,2.201566805,41.414185339,Avançament defectuós/improcedent,108,2026-05-11 10:16:15.963225
2023S006434    ,10,Sant Martí,68,el Poblenou,29206,Àvila,0076 0076,Dilluns,2023,10,Octubre,30,18,Tarda,2.194910777,41.397307394,No determinada,109,2026-05-11 10:16:15.963225
2023S006660    ,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,020800000,Dijous,2023,11,Novembre,9,19,Tarda,2.205804964,41.417381413,No respectar distàncies,110,2026-05-11 10:16:15.963225
2023S007305    ,10,Sant Martí,71,Provençals del Poblenou,169409,Corts Catalanes,1024 1026,Diumenge,2023,12,Desembre,10,0,Nit,2.200321485,41.412824313,Canvi de carril sense precaució,111,2026-05-11 10:16:15.963225
2023S001314    ,10,Sant Martí,71,Provençals del Poblenou,143609,Josep Pla,0181 0181,Dilluns,2023,3,Març,6,16,Tarda,2.205508932,41.416427549,Manca d'atenció a la conducció,112,2026-05-11 10:16:15.963225
2023S007386    ,10,Sant Martí,71,Provençals del Poblenou,30409,Bac de Roda,0125 0125,Dimecres,2023,12,Desembre,13,13,Matí,2.201731089,41.409236139,Desobeir semàfor,113,2026-05-11 10:16:15.963225
2023S006996    ,10,Sant Martí,68,el Poblenou,115603,Espronceda,0119 0119,Dissabte,2023,11,Novembre,25,2,Nit,2.203973965,41.405812692,No respectat pas de vianants,114,2026-05-11 10:16:15.963225
2023S003091    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,30409,Bac de Roda,0098X0098X,Dijous,2023,5,Maig,25,13,Matí,2.203962044,41.40756511,Gir indegut o sense precaució,115,2026-05-11 10:16:15.963225
2023S006267    ,10,Sant Martí,68,el Poblenou,270901,Pujades,0226B0226B,Dimarts,2023,10,Octubre,24,13,Matí,2.202865326,41.403319401,Desobeir semàfor,116,2026-05-11 10:16:15.963225
2023S002098    ,10,Sant Martí,68,el Poblenou,30409,Bac de Roda,0099 0099,Dijous,2023,4,Abril,13,8,Matí,2.204534671,41.407112116,Gir indegut o sense precaució,117,2026-05-11 10:16:15.963225
2023S000780    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,144601,Diagonal,0045X0045X,Dimecres,2023,2,Febrer,8,16,Tarda,2.212505906,41.410286925,Manca d'atenció a la conducció,118,2026-05-11 10:16:15.963225
2023S000321    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,30409,Bac de Roda,0064 0064,Dimarts,2023,1,Gener,17,14,Tarda,2.206194629,41.405849009,Gir indegut o sense precaució,119,2026-05-11 10:16:15.963225
2023S003995    ,10,Sant Martí,68,el Poblenou,249304,Pere IV,0161 0161,Diumenge,2023,7,Juliol,2,17,Tarda,2.197868543,41.40317301,Avançament defectuós/improcedent,120,2026-05-11 10:16:15.963225
2023S006920    ,10,Sant Martí,68,el Poblenou,332000,Taulat,0083 0083,Dimarts,2023,11,Novembre,21,16,Tarda,2.204567506,41.398536563,Desobeir semàfor,121,2026-05-11 10:16:15.963225
2023S004040    ,10,Sant Martí,68,el Poblenou,346800,Poblenou,0046 0046,Dilluns,2023,7,Juliol,3,6,Matí,2.202744227,41.40008919,Desconegut,122,2026-05-11 10:16:15.963225
2023S007519    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,270901,Pujades,0027 0027,Dimarts,2023,12,Desembre,19,7,Matí,2.190318066,41.39394043,Altres,123,2026-05-11 10:16:15.963225
2023S004417    ,10,Sant Martí,68,el Poblenou,174908,Joncar,0001 0001,Divendres,2023,7,Juliol,21,14,Tarda,2.203014616,41.400086919,Manca d'atenció a la conducció,124,2026-05-11 10:16:15.963225
2023S005640    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,197302,Marina,0078X0078X,Dilluns,2023,9,Setembre,25,1,Nit,2.189905776,41.392992912,Desconegut,125,2026-05-11 10:16:15.963225
2023S005603    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,197302,Marina,0078X0078X,Divendres,2023,9,Setembre,22,16,Tarda,2.189602761,41.392416821,Manca d'atenció a la conducció,126,2026-05-11 10:16:15.963225
2023S000049    ,10,Sant Martí,68,el Poblenou,330107,Tànger,0160X0160X,Dimarts,2023,1,Gener,3,21,Tarda,2.196057155,41.404940981,No respectar distàncies,127,2026-05-11 10:16:15.963225
2023S005054    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,197302,Marina,0101 0101,Dijous,2023,8,Agost,24,14,Tarda,2.187280446,41.394165568,Manca d'atenció a la conducció,128,2026-05-11 10:16:15.963225
2023S006041    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,197302,Marina,0114 0116,Dimecres,2023,10,Octubre,11,17,Tarda,2.186870951,41.394754921,Desobeir semàfor,129,2026-05-11 10:16:15.963225
2023S006453    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,197302,Marina,0114 0116,Dimarts,2023,10,Octubre,31,14,Tarda,2.186870951,41.394754921,Canvi de carril sense precaució,130,2026-05-11 10:16:15.963225
2023S000993    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,270901,Pujades,0082 0082,Divendres,2023,2,Febrer,17,17,Tarda,2.192753992,41.395650315,Canvi de carril sense precaució,131,2026-05-11 10:16:15.963225
2023S000330    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,311703,Sancho de Ávila,0146X0146X,Dimarts,2023,1,Gener,17,22,Nit,2.194496572,41.402218906,Manca d'atenció a la conducció,132,2026-05-11 10:16:15.963225
2023S000071    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,209900,Meridiana,0054 0054,Dijous,2023,1,Gener,5,6,Matí,2.18693924,41.398137365,Desobeir semàfor,133,2026-05-11 10:16:15.963225
2023S000913    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,700654,Litoral,0098 0098,Dimarts,2023,2,Febrer,14,16,Tarda,2.210896674,41.400091299,Gir indegut o sense precaució,134,2026-05-11 10:16:15.963225
2023S004203    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,700892,Garcia Fària,0095X0095X,Dimarts,2023,7,Juliol,11,20,Tarda,2.219956156,41.409123333,Manca d'atenció a la conducció,135,2026-05-11 10:16:15.963225
2023S003609    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,144601,Diagonal,0003 0035,Dissabte,2023,6,Juny,17,13,Matí,2.216403377,41.410440789,Altres,136,2026-05-11 10:16:15.963225
